"seq","genus_trusted","specific_epithet_trusted","country_trusted","county","state_province","urls"
9735,"Piper","arboreum","Brasil","Antonina","Paraná","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM044861/TileGroup0/0-0-0.jpg']"
19770,"Piper","anisum","Brasil","Guapimirim","Rio de Janeiro","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00196139/TileGroup0/0-0-0.jpg']"
40891,"Piper","anisum","Brasil","Palmares","Pernambuco","['https://storage.googleapis.com/cria-zoomify/herbaria/IPA/IPA0003648/TileGroup0/0-0-0.jpg']"
7333,"Piper","grazielae","Brasil","Tapira","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/UEC/UEC139183/TileGroup0/0-0-0.jpg']"
22332,"Piper","grazielae","Brasil","Jequié","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000008456/TileGroup0/0-0-0.jpg']"
22343,"Piper","grazielae","Brasil","Jequié","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011408/TileGroup0/0-0-0.jpg']"
21142,"Piper","grazielae","Brasil","Limeira","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00013030/TileGroup0/0-0-0.jpg']"
21260,"Piper","grazielae","Brasil","São Paulo","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00163151/TileGroup0/0-0-0.jpg']"
13064,"Piper","grazielae","Brasil","Diamante do Norte","Paraná","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEM/HUEM000009983/TileGroup0/0-0-0.jpg']"
9311,"Piper","grazielae","Brasil","Itabuna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM110148/TileGroup0/0-0-0.jpg']"
9821,"Piper","grazielae","Brasil","Bocaiúva do Sul","Paraná","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM310953/TileGroup0/0-0-0.jpg']"
10059,"Piper","grazielae","Brasil","Fênix","Paraná","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM320258/TileGroup0/0-0-0.jpg']"
3721,"Piper","grazielae","Brasil","","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005576/TileGroup0/0-0-0.jpg']"
3720,"Piper","grazielae","Brasil","","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005575/TileGroup0/0-0-0.jpg']"
10184,"Piper","grazielae","Brasil","Guaraqueçaba","Paraná","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM279469/TileGroup0/0-0-0.jpg']"
9575,"Piper","grazielae","Brasil","Caxambú","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM109450/TileGroup0/0-0-0.jpg']"
9413,"Piper","grazielae","Brasil","Ibatiba","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM096912/TileGroup0/0-0-0.jpg']"
9400,"Piper","grazielae","Brasil","Conceição do Castelo","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104697/TileGroup0/0-0-0.jpg']"
9402,"Piper","grazielae","Brasil","Conceição do Castelo","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104701/TileGroup0/0-0-0.jpg']"
9452,"Piper","grazielae","Brasil","Venda Nova do Imigrante","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM253786/TileGroup0/0-0-0.jpg']"
9474,"Piper","grazielae","Brasil","Pirenópolis","Goiás","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM065287/TileGroup0/0-0-0.jpg']"
9554,"Piper","grazielae","Brasil","Belo Horizonte","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM175695/TileGroup0/0-0-0.jpg']"
36777,"Piper","grazielae","Brasil","Nova Venécia Mun.","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556117_01/TileGroup0/0-0-0.jpg']"
