"seq","genus_trusted","specific_epithet_trusted","country_trusted","county","state_province","urls"
22332,"Piper","grazielae","Brasil","Jequié","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000008456/TileGroup0/0-0-0.jpg']"
22343,"Piper","grazielae","Brasil","Jequié","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011408/TileGroup0/0-0-0.jpg']"
9311,"Piper","grazielae","Brasil","Itabuna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM110148/TileGroup0/0-0-0.jpg']"
22339,"Piper","grazielae","Brasil","Jequié","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011409/TileGroup0/0-0-0.jpg']"
22341,"Piper","grazielae","Brasil","Jequié","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011405/TileGroup0/0-0-0.jpg']"
21865,"Piper","grazielae","Brasil","Santa Terezinha","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0170743/TileGroup0/0-0-0.jpg']"
21869,"Piper","grazielae","Brasil","Elísio Medrado","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0093859/TileGroup0/0-0-0.jpg']"
22342,"Piper","grazielae","Brasil","Jequié","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUESB/HUESB000011407/TileGroup0/0-0-0.jpg']"
32000,"Piper","grazielae","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556133_01/TileGroup0/0-0-0.jpg']"
31998,"Piper","grazielae","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556132_01/TileGroup0/0-0-0.jpg']"
32003,"Piper","grazielae","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556121_01/TileGroup0/0-0-0.jpg']"
32004,"Piper","grazielae","Brasil","","Pernambuco","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556124_01/TileGroup0/0-0-0.jpg']"
36934,"Piper","grazielae","Brasil","Areia Mun.","Paraíba","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556123_01/TileGroup0/0-0-0.jpg']"
38097,"Piper","grazielae","Brasil","Itamaraju Mun.","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556135_01/TileGroup0/0-0-0.jpg']"
38682,"Piper","grazielae","Brasil","Prado Mun.","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556106_01/TileGroup0/0-0-0.jpg']"
44250,"Piper","grazielae","Brasil","","Ceará","['https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0012285_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/INPA/INPA0012285/TileGroup0/0-0-0.jpg']"
25967,"Piper","ovatum","Brasil","Cruz das Almas","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/ALCB/ALCB002666/TileGroup0/0-0-0.jpg']"
21922,"Piper","hispidum","Brasil","Canavieiras","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0060226/TileGroup0/0-0-0.jpg']"
21949,"Piper","mollicomum","Brasil","Santa Terezinha","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0172761/TileGroup0/0-0-0.jpg']"
21952,"Piper","mollicomum","Brasil","Alagoa Nova","Paraíba","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0182755/TileGroup0/0-0-0.jpg']"
21958,"Piper","mollicomum","Brasil","Santa Terezinha","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0167113/TileGroup0/0-0-0.jpg']"
21953,"Piper","mollicomum","Brasil","Caturama","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0121616/TileGroup0/0-0-0.jpg']"
21955,"Piper","mollicomum","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0144342/TileGroup0/0-0-0.jpg']"
21959,"Piper","mollicomum","Brasil","Pilões","Paraíba","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0182702/TileGroup0/0-0-0.jpg']"
21968,"Piper","ovatum","Brasil","Igrapiúna","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/HUEFS/HUEFS0145431/TileGroup0/0-0-0.jpg']"
8712,"Piper","aduncum","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM065952/TileGroup0/0-0-0.jpg']"
1465,"Peperomia","obtusifolia","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U1572102/TileGroup0/0-0-0.jpg']"
39270,"Piper","tuberculatum","Brasil","Rosário Mun.","Maranhão","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY01021395_01/TileGroup0/0-0-0.jpg']"
2079,"Peperomia","tetraphylla","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U1572106/TileGroup0/0-0-0.jpg']"
9257,"Piper","caldense","Brasil","Arataca","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM321092/TileGroup0/0-0-0.jpg']"
9268,"Piper","divaricatum","Brasil","Camaçari","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM312697/TileGroup0/0-0-0.jpg']"
9256,"Piper","amplum","Brasil","Almadina","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM315324/TileGroup0/0-0-0.jpg']"
20414,"Piper","divaricatum","Brasil","Alcobaça","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00048635/TileGroup0/0-0-0.jpg']"
20246,"Piper","amplum","Brasil","Almadina","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00177567/TileGroup0/0-0-0.jpg']"
20229,"Piper","amalago","Brasil","Caravelas","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00191243/TileGroup0/0-0-0.jpg']"
20237,"Piper","amalago","Brasil","Jussari","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00166083/TileGroup0/0-0-0.jpg']"
20244,"Piper","amplum","Brasil","Buerarema","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00161695/TileGroup0/0-0-0.jpg']"
8683,"Piper","aduncum","Brasil","","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM116015/TileGroup0/0-0-0.jpg']"
20004,"Peperomia","tetraphylla","Brasil","Piatã","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00088654/TileGroup0/0-0-0.jpg']"
20962,"Piper","arboreum","Brasil","Buíque","Pernambuco","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00231328/TileGroup0/0-0-0.jpg']"
19922,"Peperomia","obtusifolia","Brasil","Lençóis","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00104374/TileGroup0/0-0-0.jpg']"
19975,"Peperomia","tetraphylla","Brasil","Abaíra","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00111690/TileGroup0/0-0-0.jpg']"
19980,"Peperomia","tetraphylla","Brasil","Morro do Chapéu","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00127131/TileGroup0/0-0-0.jpg']"
9329,"Piper","dilatatum","Brasil","Jacobina","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM255280/TileGroup0/0-0-0.jpg']"
9334,"Piper","arboreum","Brasil","Maraú","Bahia","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM087898/TileGroup0/0-0-0.jpg']"
