"seq","genus_trusted","specific_epithet_trusted","country_trusted","county","state_province","urls"
19770,"Piper","anisum","Brasil","Guapimirim","Rio de Janeiro","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00196139/TileGroup0/0-0-0.jpg']"
7333,"Piper","grazielae","Brasil","Tapira","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/UEC/UEC139183/TileGroup0/0-0-0.jpg']"
21142,"Piper","grazielae","Brasil","Limeira","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00013030/TileGroup0/0-0-0.jpg']"
21260,"Piper","grazielae","Brasil","São Paulo","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/SPF/SPF00163151/TileGroup0/0-0-0.jpg']"
3721,"Piper","grazielae","Brasil","","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005576/TileGroup0/0-0-0.jpg']"
3720,"Piper","grazielae","Brasil","","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/NL-BOTANY/NL-U0005575/TileGroup0/0-0-0.jpg']"
9575,"Piper","grazielae","Brasil","Caxambú","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM109450/TileGroup0/0-0-0.jpg']"
9413,"Piper","grazielae","Brasil","Ibatiba","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM096912/TileGroup0/0-0-0.jpg']"
9400,"Piper","grazielae","Brasil","Conceição do Castelo","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104697/TileGroup0/0-0-0.jpg']"
9402,"Piper","grazielae","Brasil","Conceição do Castelo","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM104701/TileGroup0/0-0-0.jpg']"
9452,"Piper","grazielae","Brasil","Venda Nova do Imigrante","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM253786/TileGroup0/0-0-0.jpg']"
9554,"Piper","grazielae","Brasil","Belo Horizonte","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM175695/TileGroup0/0-0-0.jpg']"
36777,"Piper","grazielae","Brasil","Nova Venécia Mun.","Espírito Santo","['https://storage.googleapis.com/cria-zoomify/herbaria/NY/NY00556117_01/TileGroup0/0-0-0.jpg']"
9596,"Piper","grazielae","Brasil","Francisco Sá","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM065926/TileGroup0/0-0-0.jpg']"
9604,"Piper","grazielae","Brasil","Juiz de Fora","Minas Gerais","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM286904/TileGroup0/0-0-0.jpg']"
10826,"Piper","grazielae","Brasil","Silva Jardim","Rio de Janeiro","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM337356/TileGroup0/0-0-0.jpg']"
11059,"Piper","grazielae","Brasil","Charqueada","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM162298/TileGroup0/0-0-0.jpg']"
11105,"Piper","grazielae","Brasil","São Sebastião","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM250475/TileGroup0/0-0-0.jpg']"
11115,"Piper","grazielae","Brasil","Vinhedo","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/MBM/MBM317800/TileGroup0/0-0-0.jpg']"
13675,"Piper","grazielae","Brasil","","São Paulo","['https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN037227_e/TileGroup0/0-0-0.jpg', 'https://storage.googleapis.com/cria-zoomify/herbaria/IAN/IAN037227/TileGroup0/0-0-0.jpg']"
